"case_id","task_type","lang","description","code","data_ref","notes","difficulty"
"T0001","image_processing","zh","我想看一下海南岛中部山区的大致地形效果，帮我把那一带的 DEM 处理成一张连续的地形底图，再做一张山体阴影图，放到地图上一起看看。","import oge

# 初始化
oge.initialize()
service = oge.Service()

# 读取指定范围内的多景 DEM
dem_collection = service.getCoverageCollection(
    productID=""ASTER_GDEM_DEM30"",
    datetime=[""2000-01-01 00:00:00,2000-01-01 00:00:00""],
    bbox=[108.5, 18.1, 111.0, 20.1]
)

# 1) 多景 DEM 镶嵌，形成连续 DEM 表面
dem = service.getProcess(""CoverageCollection.mosaic"").execute(
    dem_collection,
    ""mean""
)

# 2) 对连续 DEM 做基础平滑，抑制局部噪声
dem_base = service.getProcess(""Coverage.focalMean"").execute(
    dem,
    ""square"",
    1
)

# 3) 基于处理后的 DEM 生成地形阴影结果
hillshade = service.getProcess(""Coverage.terrHillshade"").execute(
    dem_base,
    1,
    1
)

# 可视化参数
dem_vis = {
    ""palette"": [""#274e13"", ""#5b8a3c"", ""#b7b26a"", ""#d9c59a"", ""#f5f5f5""]
}

shade_vis = {
    ""palette"": [""#1f1f1f"", ""#555555"", ""#8a8a8a"", ""#c0c0c0"", ""#f2f2f2""]
}

# 输出结果：处理后的连续 DEM 与阴影结果对照展示
dem_base.styles(dem_vis).getMap(""dem_base"")
hillshade.styles(shade_vis).getMap(""hillshade"")

# 设置地图中心
oge.mapclient.centerMap(109.7, 19.1, 9)","参考数据：可使用与任务匹配的栅格影像集合（示例 productID=ASTER_GDEM_DEM30；示例时间范围=2000-01-01 00:00:00,2000-01-01 00:00:00；示例空间范围=[108.5, 18.1, 111.0, 20.1]）。","","简单"
"T0002","image_processing","zh","我想比较一下海南岛中部山区这片地方的地形底图在基础处理前后有什么差别。请先把那一带的 DEM 拼成连续地形底图，再分别生成处理前后的山体阴影图，并把连续 DEM 底图、原始阴影图和处理后的阴影图一起放到地图上对照看看。","import oge

# 初始化
oge.initialize()
service = oge.Service()

# 读取海南岛中部山区范围内的多景 DEM
dem_collection = service.getCoverageCollection(
    productID=""ASTER_GDEM_DEM30"",
    datetime=[""2000-01-01 00:00:00,2000-01-01 00:00:00""],
    bbox=[108.5, 18.1, 111.0, 20.1]
)

# 1) 多景 DEM 镶嵌形成连续 DEM 表面
original_dem = service.getProcess(""CoverageCollection.mosaic"").execute(
    dem_collection,
    ""mean""
)

# 可选：输出原始 DEM 的投影信息，便于确认后续分辨率参数
crs = service.getProcess(""Coverage.projection"").execute(original_dem)

# 2) 保留原始 DEM 作为基准版本
# original_dem 直接作为基准版本使用

# 3) 对另一份 DEM 执行平滑处理
smooth_dem = service.getProcess(""Coverage.focalMean"").execute(
    original_dem,
    ""circle"",
    1
)

# 4) 基于原始 DEM 生成地形阴影结果
original_hillshade = service.getProcess(""Coverage.terrHillshade"").execute(
    original_dem,
    1,
    1
)

# 5) 基于处理后 DEM 生成地形阴影结果
processed_hillshade = service.getProcess(""Coverage.terrHillshade"").execute(
    smooth_dem,
    1,
    1
)

# 可视化参数
dem_vis = {
    ""palette"": [""#274e13"", ""#5b8a3c"", ""#b7b26a"", ""#d9c59a"", ""#f5f5f5""]
}

shade_vis = {
    ""palette"": [""#1f1f1f"", ""#555555"", ""#8a8a8a"", ""#c0c0c0"", ""#f2f2f2""]
}

# 6) 组织原始 DEM、平滑 DEM、原始阴影结果与处理后阴影结果的整体对照结构
original_dem.styles(dem_vis).getMap(""original_dem"")
original_hillshade.styles(shade_vis).getMap(""original_hillshade"")
processed_hillshade.styles(shade_vis).getMap(""processed_hillshade"")

# 设置地图中心
oge.mapclient.centerMap(109.7, 19.1, 9)","参考数据：可使用与任务匹配的栅格影像集合（示例 productID=ASTER_GDEM_DEM30；示例时间范围=2000-01-01 00:00:00,2000-01-01 00:00:00；示例空间范围=[108.5, 18.1, 111.0, 20.1]）。","","中等"
"T0003","image_processing","zh","后面我还想把海南岛中部山区这一带的 DEM 和别的栅格图层叠加着看，麻烦先把这片地方的 DEM 原来的坐标情况确认一下，再统一成一套更适合叠加的坐标和分辨率，最后做一张整理后的地形底图和山体阴影图放到地图上。","import oge

# 初始化
oge.initialize()
service = oge.Service()

# 读取海南岛中部山区范围内的多景 DEM
dem_collection = service.getCoverageCollection(
    productID=""ASTER_GDEM_DEM30"",
    datetime=[""2000-01-01 00:00:00,2000-01-01 00:00:00""],
    bbox=[108.5, 18.1, 111.0, 20.1]
)

# 1) 多景 DEM 镶嵌形成连续 DEM 表面
dem = service.getProcess(""CoverageCollection.mosaic"").execute(
    dem_collection,
    ""mean""
)

# 2) 读取并确认原始空间参考信息
original_crs = service.getProcess(""Coverage.projection"").execute(dem)

# 3) 将 DEM 统一到目标坐标系和分辨率
standard_dem = service.getProcess(""Coverage.reproject"").execute(
    dem,
    3857,
    100
)

# 4) 对标准化后的 DEM 执行基础平滑
smooth_dem = service.getProcess(""Coverage.focalMean"").execute(
    standard_dem,
    ""square"",
    1
)

# 5) 基于标准化 DEM 生成地形阴影结果
hillshade = service.getProcess(""Coverage.terrHillshade"").execute(
    smooth_dem,
    1,
    1
)

# 可视化参数
dem_vis = {
    ""palette"": [""#274e13"", ""#5b8a3c"", ""#b7b26a"", ""#d9c59a"", ""#f5f5f5""]
}

shade_vis = {
    ""palette"": [""#1f1f1f"", ""#555555"", ""#8a8a8a"", ""#c0c0c0"", ""#f2f2f2""]
}

# 6) 组织标准化 DEM 与阴影结果的底图产品结构
smooth_dem.styles(dem_vis).getMap(""standardized_dem"")
hillshade.styles(shade_vis).getMap(""standardized_hillshade"")

# 设置地图中心
oge.mapclient.centerMap(109.7, 19.1, 8)","参考数据：可使用与任务匹配的栅格影像集合（示例 productID=ASTER_GDEM_DEM30；示例时间范围=2000-01-01 00:00:00,2000-01-01 00:00:00；示例空间范围=[108.5, 18.1, 111.0, 20.1]）。","","中等"
"T0004","image_processing","zh","我想把武汉市东北部这一景影像先做一下简单预处理，帮我把绿色波段先处理得更顺一点，再把边缘结构提得更清楚一些，最后整理成一个看起来别太碎的版本，并把前后几个阶段一起放到地图上对照看看。","import oge

# 初始化
oge.initialize()
service = oge.Service()

# 读取单景影像
ls8 = service.getCoverage(
    coverageID=""LC81220382015275LGN00"",
    productID=""LC08_L1T""
)


# 1) 提取目标波段（绿色波段）
target_band = service.getProcess(""Coverage.selectBands"").execute(ls8, [""B3""])

# 2) 对目标波段执行平滑处理
smooth_band = service.getProcess(""Coverage.focalMean"").execute(
    target_band,
    ""square"",
    1
)

# 3) 对平滑结果执行卷积增强
kernel = service.getProcess(""Kernel.prewitt"").execute(True, 1.0)
enhanced_band = service.getProcess(""Coverage.convolve"").execute(
    smooth_band,
    kernel
)

# 4) 对增强结果做一次基础后处理
final_band = service.getProcess(""Coverage.focalMedian"").execute(
    enhanced_band,
    ""circle"",
    1
)

# 可视化参数
vis_params = {
    ""palette"": [""#1f1f1f"", ""#5a5a5a"", ""#9a9a9a"", ""#d9d9d9"", ""#ffffff""]
}

# 5) 组织原始波段、平滑结果、增强结果和最终结果之间的阶段性对照关系
target_band.styles(vis_params).getMap(""target_band"")
smooth_band.styles(vis_params).getMap(""smooth_band"")
enhanced_band.styles(vis_params).getMap(""enhanced_band"")
final_band.styles(vis_params).getMap(""final_band"")


# 影像中心点位可视化
oge.mapclient.centerMap(115.74080156644999,31.7318082104,11)","参考数据：可使用与任务匹配的栅格数据（示例 productID=LC08_L1T；示例 coverageID=LC81220392015275LGN00）。","","简单"
"T0005","image_processing","zh","我想看看武汉市东北部这一景影像在两种不同处理思路下会有什么区别：一种偏向把边界和纹理提得更明显，另一种偏向先把画面压得更稳，再用另一种方式做局部细节增强。请把原始波段和这两个版本一起放到地图上对照看看。","import oge

# 初始化
oge.initialize()
service = oge.Service()

# 读取单景影像
ls8 = service.getCoverage(
    coverageID=""LC81220382015275LGN00"",
    productID=""LC08_L1T""
)

# 1) 提取目标波段
target_band = service.getProcess(""Coverage.selectBands"").execute(
    ls8,
    [""B3""]
)

# 2) 构建处理支路 A：执行较弱平滑
branch_a_smooth = service.getProcess(""Coverage.focalMean"").execute(
    target_band,
    ""square"",
    1
)

# 3) 在支路 A 上执行卷积增强
kernel_a = service.getProcess(""Kernel.prewitt"").execute(True, 1.0)
branch_a_enhanced = service.getProcess(""Coverage.convolve"").execute(
    branch_a_smooth,
    kernel_a
)

# 4) 构建处理支路 B：执行较强平滑
branch_b_smooth = service.getProcess(""Coverage.focalMean"").execute(
    target_band,
    ""square"",
    3
)

# 5) 在支路 B 上执行卷积增强
kernel_b = service.getProcess(""Kernel.laplacian4"").execute()
branch_b_enhanced = service.getProcess(""Coverage.convolve"").execute(
    branch_b_smooth,
    kernel_b
)

# 6) 对两条支路结果分别做基础后处理
branch_a_final = service.getProcess(""Coverage.focalMedian"").execute(
    branch_a_enhanced,
    ""circle"",
    1
)
branch_b_final = service.getProcess(""Coverage.focalMedian"").execute(
    branch_b_enhanced,
    ""circle"",
    1
)

# 可视化参数
original_vis = {
    ""min"": 0,
    ""max"": 30000,
    ""palette"": [""#1f1f1f"", ""#5a5a5a"", ""#9a9a9a"", ""#d9d9d9"", ""#ffffff""]
}

enhance_vis = {
    ""min"": -2000,
    ""max"": 2000,
    ""palette"": [""#1f1f1f"", ""#5a5a5a"", ""#9a9a9a"", ""#d9d9d9"", ""#ffffff""]
}

# 7) 组织原始波段、支路 A 结果、支路 B 结果的对照结构
target_band.styles(original_vis).getMap(""target_band"")
branch_a_final.styles(enhance_vis).getMap(""branch_a_final"")
branch_b_final.styles(enhance_vis).getMap(""branch_b_final"")

# 设置地图中心
oge.mapclient.centerMap(115.74080156644999,31.7318082104,11)","参考数据：可使用与任务匹配的栅格数据（示例 productID=LC08_L1T；示例 coverageID=LC81220392015275LGN00）。","","中等"
"T0006","image_processing","zh","我想拿武汉市东北部这一景影像的绿色波段做个更细一点的对照，看看哪种整理方式更适合把细节提出来，同时又不至于让画面太乱。请先保留原始结果，再做两套处理：一套尽量把边缘和纹理提得更清楚，另一套让画面更顺一些再去提细节，最后把原始波段、两套处理中间结果和最后结果都放到地图上一起对照看看。","import oge

# 初始化
oge.initialize()
service = oge.Service()

# 读取单景影像
ls8 = service.getCoverage(
    coverageID=""LC81220382015275LGN00"",
    productID=""LC08_L1T""
)

# 1) 提取目标波段
target_band = service.getProcess(""Coverage.selectBands"").execute(ls8, [""B3""])

# 2) 保留原始波段作为基准版本
original_band = target_band

# 3) 构建处理链 A：执行基础平滑
chain_a_smooth = service.getProcess(""Coverage.focalMean"").execute(
    target_band,
    ""square"",
    1
)

# 4) 在处理链 A 上执行卷积增强
kernel_a = service.getProcess(""Kernel.prewitt"").execute(True, 0.5)
chain_a_intermediate = service.getProcess(""Coverage.convolve"").execute(
    chain_a_smooth,
    kernel_a
)

# 5) 对链 A 做一次基础后处理
chain_a_final = service.getProcess(""Coverage.focalMedian"").execute(
    chain_a_intermediate,
    ""circle"",
    1
)

# 6) 构建处理链 B：执行较强平滑
chain_b_smooth = service.getProcess(""Coverage.focalMean"").execute(
    target_band,
    ""square"",
    3
)

# 7) 在处理链 B 上执行另一种局部增强处理
kernel_b = service.getProcess(""Kernel.laplacian4"").execute()
chain_b_intermediate = service.getProcess(""Coverage.convolve"").execute(
    chain_b_smooth,
    kernel_b
)

# 8) 对链 B 做一次基础后处理
chain_b_final = service.getProcess(""Coverage.focalMedian"").execute(
    chain_b_intermediate,
    ""circle"",
    1
)

# 可视化参数
original_vis = {
    ""min"": 0,
    ""max"": 30000,
    ""palette"": [""#1f1f1f"", ""#5a5a5a"", ""#9a9a9a"", ""#d9d9d9"", ""#ffffff""]
}

enhance_vis = {
    ""min"": -2000,
    ""max"": 2000,
    ""palette"": [""#1f1f1f"", ""#5a5a5a"", ""#9a9a9a"", ""#d9d9d9"", ""#ffffff""]
}

# 9) 组织原始版本、链 A 中间结果、链 B 中间结果以及两条链最终结果的多层对照关系
original_band.styles(original_vis).getMap(""original_band"")
chain_a_intermediate.styles(enhance_vis).getMap(""chain_a_intermediate"")
chain_b_intermediate.styles(enhance_vis).getMap(""chain_b_intermediate"")
chain_a_final.styles(enhance_vis).getMap(""chain_a_final"")
chain_b_final.styles(enhance_vis).getMap(""chain_b_final"")

# 设置地图中心

oge.mapclient.centerMap(115.74080156644999,31.7318082104,11)","参考数据：可使用与任务匹配的栅格数据（示例 productID=LC08_L1T；示例 coverageID=LC81220392015275LGN00）。","","中等"
"T0007","image_processing","zh","我准备把武汉市东北部这一景影像和手头其他栅格底图叠加着看，先帮我把绿色波段整理成一个更统一、边缘不要太碎的版本：先看看原来的坐标信息，再把它转成统一坐标和分辨率，最后把原始结果和整理后的结果一起放到地图上对照看看。","import oge

# 初始化
oge.initialize()
service = oge.Service()

# 读取单景影像
ls8 = service.getCoverage(
    coverageID=""LC81220382015275LGN00"",
    productID=""LC08_L1T""
)

# 1) 提取目标影像中的主处理层（绿色波段）
target_band = service.getProcess(""Coverage.selectBands"").execute(ls8, [""B3""])

# 2) 读取并确认原始空间参考信息
crs = service.getProcess(""Coverage.projection"").execute(target_band)

# 3) 将影像转换到统一坐标和分辨率
standard_band = service.getProcess(""Coverage.reproject"").execute(
    target_band,
    3857,
    30
)

# 4) 对标准化结果做一次基础后处理
# 这里用轻度中值滤波，让边缘不要太碎
final_band = service.getProcess(""Coverage.focalMedian"").execute(
    standard_band,
    ""circle"",
    1
)

# 可视化参数
vis_params = {
    ""palette"": [""#1f1f1f"", ""#5a5a5a"", ""#9a9a9a"", ""#d9d9d9"", ""#ffffff""]
}

# 5) 组织原始影像与标准化影像的对照结构
target_band.styles(vis_params).getMap(""original_band"")
final_band.styles(vis_params).getMap(""standardized_band"")

# 设置地图中心
import oge

# 初始化
oge.initialize()
service = oge.Service()

# 读取单景影像
ls8 = service.getCoverage(
    coverageID=""LC81220382015275LGN00"",
    productID=""LC08_L1T""
)

# 1) 提取目标波段
target_band = service.getProcess(""Coverage.selectBands"").execute(ls8, [""B3""])

# 2) 保留原始波段作为基准版本
original_band = target_band

# 3) 构建处理链 A：执行基础平滑
chain_a_smooth = service.getProcess(""Coverage.focalMean"").execute(
    target_band,
    ""square"",
    1
)

# 4) 在处理链 A 上执行卷积增强
kernel_a = service.getProcess(""Kernel.prewitt"").execute(True, 0.5)
chain_a_intermediate = service.getProcess(""Coverage.convolve"").execute(
    chain_a_smooth,
    kernel_a
)

# 5) 对链 A 做一次基础后处理
chain_a_final = service.getProcess(""Coverage.focalMedian"").execute(
    chain_a_intermediate,
    ""circle"",
    1
)

# 6) 构建处理链 B：执行较强平滑
chain_b_smooth = service.getProcess(""Coverage.focalMean"").execute(
    target_band,
    ""square"",
    3
)

# 7) 在处理链 B 上执行另一种局部增强处理
kernel_b = service.getProcess(""Kernel.laplacian4"").execute()
chain_b_intermediate = service.getProcess(""Coverage.convolve"").execute(
    chain_b_smooth,
    kernel_b
)

# 8) 对链 B 做一次基础后处理
chain_b_final = service.getProcess(""Coverage.focalMedian"").execute(
    chain_b_intermediate,
    ""circle"",
    1
)

# 可视化参数
original_vis = {
    ""min"": 0,
    ""max"": 30000,
    ""palette"": [""#1f1f1f"", ""#5a5a5a"", ""#9a9a9a"", ""#d9d9d9"", ""#ffffff""]
}

enhance_vis = {
    ""min"": -2000,
    ""max"": 2000,
    ""palette"": [""#1f1f1f"", ""#5a5a5a"", ""#9a9a9a"", ""#d9d9d9"", ""#ffffff""]
}

# 9) 组织原始版本、链 A 中间结果、链 B 中间结果以及两条链最终结果的多层对照关系
original_band.styles(original_vis).getMap(""original_band"")
chain_a_intermediate.styles(enhance_vis).getMap(""chain_a_intermediate"")
chain_b_intermediate.styles(enhance_vis).getMap(""chain_b_intermediate"")
chain_a_final.styles(enhance_vis).getMap(""chain_a_final"")
chain_b_final.styles(enhance_vis).getMap(""chain_b_final"")

# 设置地图中心
oge.mapclient.centerMap(115.74080156644999,31.7318082104,11)","参考数据：可使用与任务匹配的栅格数据（示例 productID=LC08_L1T；示例 coverageID=LC81220392015275LGN00）。","","简单"
"T0008","image_processing","zh","基于 Landsat 8 的数据，我想把豫东一带这两景影像放到一起对照着看，但现在它们看起来还不太统一。请先把两景影像绿色波段原来的坐标情况确认一下，再整理到同一套坐标和分辨率下，做成两个更规整、便于并排比较的版本放到地图上。","import oge

# 初始化
oge.initialize()
service = oge.Service()

# 读取两景影像
image_a = service.getCoverage(
    coverageID=""LC81230362016125LGN00"",
    productID=""LC08_L1T""
)
image_b = service.getCoverage(
    coverageID=""LC81230372016125LGN00"",
    productID=""LC08_L1T""
)

# 1) 提取影像 A 的主处理层（绿色波段）
band_a = service.getProcess(""Coverage.selectBands"").execute(image_a, [""B3""])

# 2) 提取影像 B 的主处理层（绿色波段）
band_b = service.getProcess(""Coverage.selectBands"").execute(image_b, [""B3""])

# 3) 分别读取两景影像的空间参考信息
crs_a = service.getProcess(""Coverage.projection"").execute(band_a)
crs_b = service.getProcess(""Coverage.projection"").execute(band_b)

# 4) 将影像 A 统一到目标坐标系和分辨率
standard_a = service.getProcess(""Coverage.reproject"").execute(
    band_a,
    3857,
    30
)

# 5) 将影像 B 统一到目标坐标系和分辨率
standard_b = service.getProcess(""Coverage.reproject"").execute(
    band_b,
    3857,
    30
)

# 可视化参数
vis_params = {
    ""palette"": [""#1f1f1f"", ""#5a5a5a"", ""#9a9a9a"", ""#d9d9d9"", ""#ffffff""]
}

# 6) 组织两景标准化结果的统一对照结构
standard_a.styles(vis_params).getMap(""standard_a"")
standard_b.styles(vis_params).getMap(""standard_b"")

# 设置地图中心
oge.mapclient.centerMap(114.74, 33.88, 8)","参考数据：可使用与任务匹配的栅格数据（示例 productID=LC08_L1T；示例 coverageID=LC81230362016125LGN00、LC81230372016125LGN00）。","","简单"
"T0009","image_processing","zh","我想把豫东一带三景 Landsat 影像先拼成一张连续底图，方便后面统一展示和跟别的栅格一起叠加看。请把它整理成一个坐标和分辨率都更统一、画面看起来更连贯的版本，并把拼接后的原始结果和整理后的结果一起放到地图上对照看看。","import oge

# 初始化
oge.initialize()
service = oge.Service()

# 读取三景 Landsat 影像
image_1 = service.getCoverage(
    coverageID=""LC81230352016125LGN00"",
    productID=""LC08_L1T""
)
image_2 = service.getCoverage(
    coverageID=""LC81230362016125LGN00"",
    productID=""LC08_L1T""
)
image_3 = service.getCoverage(
    coverageID=""LC81230372016125LGN00"",
    productID=""LC08_L1T""
)

# 提取三景影像的绿色波段
band_1 = service.getProcess(""Coverage.selectBands"").execute(image_1, [""B3""])
band_2 = service.getProcess(""Coverage.selectBands"").execute(image_2, [""B3""])
band_3 = service.getProcess(""Coverage.selectBands"").execute(image_3, [""B3""])

# 1) 对多景影像执行拼接，形成连续影像
coverage_collection = service.getProcess(""CoverageCollection.mergeCoverages"").execute(
    [band_1, band_2, band_3],
    [""band_1"", ""band_2"", ""band_3""]
)
original_mosaic = service.getProcess(""CoverageCollection.mosaic"").execute(
    coverage_collection,
    ""mean""
)

# 2) 将连续影像统一到目标坐标系和分辨率
standard_mosaic = service.getProcess(""Coverage.reproject"").execute(
    original_mosaic,
    3857,
    60
)

# 3) 对标准化结果做一次基础后处理
# 这里用轻度中值滤波，让连续底图边缘更规整、画面更连贯
final_mosaic = service.getProcess(""Coverage.focalMedian"").execute(
    standard_mosaic,
    ""circle"",
    1
)

# 可视化参数
vis_params = {
    ""palette"": [""#1f1f1f"", ""#5a5a5a"", ""#9a9a9a"", ""#d9d9d9"", ""#ffffff""]
}

# 4) 生成原始连续影像版本与标准化连续影像版本，并组织对照结构
original_mosaic.styles(vis_params).getMap(""original_mosaic"")
final_mosaic.styles(vis_params).getMap(""standardized_mosaic"")

# 设置地图中心
oge.mapclient.centerMap(114.95, 34.60, 8)","参考数据：可使用与任务匹配的栅格数据（示例 productID=LC08_L1T；示例 coverageID=LC81230352016125LGN00、LC81230362016125LGN00、LC81230372016125LGN00）。","","中等"
"T0010","image_processing","zh","我想把武汉市东北部这一景 Landsat 影像整理成一个更适合浏览的合成显示图层。请重点把绿色波段处理得更平顺一些，并适当增强局部结构，再和红色、蓝色波段重新组成一个更便于浏览对照的版本，并把原始结果和优化后的结果一起放到地图上看看。

 cat还是不能用","import oge

oge.initialize()
service = oge.Service.initialize()

ls8 = service.getCoverage(
    coverageID=""LC81220382015275LGN00"",
    productID=""LC08_L1T""
)

original_display = service.getProcess(""Coverage.selectBands"").execute(
    ls8, [""B4"", ""B3"", ""B2""]
)
green_band = service.getProcess(""Coverage.selectBands"").execute(
    ls8, [""B3""]
)

smooth_green = service.getProcess(""Coverage.focalMean"").execute(
    green_band, ""square"", 1
)

kernel = service.getProcess(""Kernel.prewitt"").execute(True, 0.5)
green_structure = service.getProcess(""Coverage.convolve"").execute(
    smooth_green, kernel
)

green_structure_light = service.getProcess(
    ""Coverage.multiplyNum""
).execute(green_structure, 0.3)

optimized_green = service.getProcess(""Coverage.add"").execute(
    smooth_green, green_structure_light
)

original_vis = {
    ""min"": 0,
    ""max"": 30000
}

optimized_vis = {
    ""min"": 0,
    ""max"": 30000,
    ""palette"": [""#000000"", ""#1b7837"", ""#7fbf7b"", ""#d9f0d3"", ""#ffffff""]
}

original_display.styles(original_vis).getMap(""原始真彩色影像"")
optimized_green.styles(optimized_vis).getMap(""绿色波段优化结果"")

oge.mapclient.centerMap(114.30, 30.61, 10)","参考数据：可使用与任务匹配的栅格数据（示例 productID=LC08_L1T；示例 coverageID=LC81220392015275LGN00）。","","中等"
